university,semester,date,recent_sgpa_band,cgpa_band,gap
KUET,7.0,2026-08-06,C3_3_75_plus,C0_below_3_20,3
KUET,7.0,2026-08-06,C3_3_75_plus,C1_3_20_to_3_49,2
KUET,7.0,2026-08-06,C0_below_3_20,C3_3_75_plus,3
KUET,7.0,2026-08-06,C3_3_75_plus,C0_below_3_20,3
KUET,7.0,2026-08-06,C3_3_75_plus,C1_3_20_to_3_49,2
KUET,7.0,2026-08-06,C0_below_3_20,C3_3_75_plus,3
KUET,7.0,2026-08-06,C1_3_20_to_3_49,C3_3_75_plus,2
KUET,7.0,2026-08-06,C0_below_3_20,C3_3_75_plus,3
KUET,7.0,2026-08-06,C0_below_3_20,C3_3_75_plus,3
KUET,7.0,2026-08-06,C3_3_75_plus,C1_3_20_to_3_49,2
KUET,7.0,2026-08-06,C1_3_20_to_3_49,C3_3_75_plus,2
KUET,7.0,2026-08-06,C3_3_75_plus,C0_below_3_20,3
KUET,7.0,2026-08-06,C3_3_75_plus,C0_below_3_20,3
KUET,7.0,2026-08-06,C1_3_20_to_3_49,C3_3_75_plus,2
KUET,7.0,2026-08-06,C0_below_3_20,C3_3_75_plus,3
KUET,7.0,2026-08-06,C0_below_3_20,C3_3_75_plus,3
KUET,7.0,2026-08-06,C3_3_75_plus,C1_3_20_to_3_49,2
KUET,7.0,2026-08-06,C1_3_20_to_3_49,C3_3_75_plus,2
KUET,7.0,2026-08-06,C3_3_75_plus,C0_below_3_20,3
KUET,7.0,2026-08-06,C3_3_75_plus,C1_3_20_to_3_49,2
KUET,7.0,2026-08-06,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-06,C1_3_20_to_3_49,C3_3_75_plus,2
KUET,7.0,2026-08-06,C2_3_50_to_3_74,C0_below_3_20,2
KUET,7.0,2026-08-06,C0_below_3_20,C3_3_75_plus,3
KUET,7.0,2026-08-06,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-06,C2_3_50_to_3_74,C0_below_3_20,2
KUET,7.0,2026-08-06,C2_3_50_to_3_74,C0_below_3_20,2
KUET,7.0,2026-08-06,C3_3_75_plus,C0_below_3_20,3
KUET,7.0,2026-08-06,C1_3_20_to_3_49,C3_3_75_plus,2
KUET,7.0,2026-08-06,C3_3_75_plus,C1_3_20_to_3_49,2
KUET,7.0,2026-08-06,C1_3_20_to_3_49,C3_3_75_plus,2
KUET,7.0,2026-08-06,C2_3_50_to_3_74,C0_below_3_20,2
KUET,7.0,2026-08-06,C3_3_75_plus,C1_3_20_to_3_49,2
KUET,7.0,2026-08-06,C2_3_50_to_3_74,C0_below_3_20,2
KUET,7.0,2026-08-06,C3_3_75_plus,C0_below_3_20,3
KUET,7.0,2026-08-06,C3_3_75_plus,C1_3_20_to_3_49,2
KUET,7.0,2026-08-06,C3_3_75_plus,C0_below_3_20,3
KUET,7.0,2026-08-06,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-06,C1_3_20_to_3_49,C3_3_75_plus,2
KUET,7.0,2026-08-06,C0_below_3_20,C3_3_75_plus,3
KUET,7.0,2026-08-06,C3_3_75_plus,C0_below_3_20,3
KUET,7.0,2026-08-06,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-06,C3_3_75_plus,C0_below_3_20,3
KUET,7.0,2026-08-06,C3_3_75_plus,C0_below_3_20,3
KUET,7.0,2026-08-06,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-06,C1_3_20_to_3_49,C3_3_75_plus,2
KUET,7.0,2026-08-06,C3_3_75_plus,C0_below_3_20,3
KUET,7.0,2026-08-06,C0_below_3_20,C3_3_75_plus,3
KUET,7.0,2026-08-06,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-06,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-06,C1_3_20_to_3_49,C3_3_75_plus,2
KUET,7.0,2026-08-06,C3_3_75_plus,C1_3_20_to_3_49,2
KUET,7.0,2026-08-06,C1_3_20_to_3_49,C3_3_75_plus,2
KUET,7.0,2026-08-06,C3_3_75_plus,C1_3_20_to_3_49,2
KUET,7.0,2026-08-06,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-06,C1_3_20_to_3_49,C3_3_75_plus,2
KUET,7.0,2026-08-06,C2_3_50_to_3_74,C0_below_3_20,2
KUET,7.0,2026-08-06,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-06,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-06,C3_3_75_plus,C1_3_20_to_3_49,2
KUET,7.0,2026-08-06,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-06,C3_3_75_plus,C1_3_20_to_3_49,2
KUET,7.0,2026-08-06,C3_3_75_plus,C0_below_3_20,3
KUET,7.0,2026-08-06,C2_3_50_to_3_74,C0_below_3_20,2
KUET,7.0,2026-08-06,C0_below_3_20,C3_3_75_plus,3
KUET,7.0,2026-08-06,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-06,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-06,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-06,C3_3_75_plus,C1_3_20_to_3_49,2
KUET,7.0,2026-08-06,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-06,C3_3_75_plus,C1_3_20_to_3_49,2
KUET,7.0,2026-08-06,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-06,C2_3_50_to_3_74,C0_below_3_20,2
KUET,7.0,2026-08-06,C0_below_3_20,C3_3_75_plus,3
KUET,7.0,2026-08-06,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-06,C1_3_20_to_3_49,C3_3_75_plus,2
KUET,7.0,2026-08-06,C0_below_3_20,C3_3_75_plus,3
KUET,7.0,2026-08-06,C3_3_75_plus,C0_below_3_20,3
KUET,7.0,2026-08-06,C0_below_3_20,C3_3_75_plus,3
KUET,7.0,2026-08-07,C2_3_50_to_3_74,C0_below_3_20,2
KUET,7.0,2026-08-07,C2_3_50_to_3_74,C0_below_3_20,2
KUET,7.0,2026-08-07,C0_below_3_20,C3_3_75_plus,3
KUET,7.0,2026-08-07,C3_3_75_plus,C1_3_20_to_3_49,2
KUET,7.0,2026-08-07,C3_3_75_plus,C1_3_20_to_3_49,2
KUET,7.0,2026-08-07,C2_3_50_to_3_74,C0_below_3_20,2
KUET,7.0,2026-08-07,C0_below_3_20,C3_3_75_plus,3
KUET,7.0,2026-08-07,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-07,C0_below_3_20,C3_3_75_plus,3
KUET,7.0,2026-08-07,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-07,C1_3_20_to_3_49,C3_3_75_plus,2
KUET,7.0,2026-08-07,C1_3_20_to_3_49,C3_3_75_plus,2
KUET,7.0,2026-08-07,C1_3_20_to_3_49,C3_3_75_plus,2
KUET,7.0,2026-08-07,C3_3_75_plus,C0_below_3_20,3
KUET,7.0,2026-08-07,C3_3_75_plus,C1_3_20_to_3_49,2
KUET,7.0,2026-08-07,C2_3_50_to_3_74,C0_below_3_20,2
KUET,7.0,2026-08-07,C3_3_75_plus,C1_3_20_to_3_49,2
KUET,7.0,2026-08-07,C3_3_75_plus,C0_below_3_20,3
KUET,7.0,2026-08-07,C0_below_3_20,C3_3_75_plus,3
KUET,7.0,2026-08-07,C3_3_75_plus,C1_3_20_to_3_49,2
KUET,7.0,2026-08-07,C0_below_3_20,C3_3_75_plus,3
KUET,7.0,2026-08-07,C1_3_20_to_3_49,C3_3_75_plus,2
KUET,7.0,2026-08-07,C3_3_75_plus,C1_3_20_to_3_49,2
KUET,7.0,2026-08-07,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-07,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-07,C0_below_3_20,C3_3_75_plus,3
KUET,7.0,2026-08-07,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-07,C3_3_75_plus,C0_below_3_20,3
KUET,7.0,2026-08-07,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-07,C2_3_50_to_3_74,C0_below_3_20,2
KUET,7.0,2026-08-07,C3_3_75_plus,C0_below_3_20,3
KUET,7.0,2026-08-07,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-07,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-07,C1_3_20_to_3_49,C3_3_75_plus,2
KUET,7.0,2026-08-07,C2_3_50_to_3_74,C0_below_3_20,2
KUET,7.0,2026-08-07,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-07,C0_below_3_20,C3_3_75_plus,3
KUET,7.0,2026-08-07,C3_3_75_plus,C1_3_20_to_3_49,2
KUET,7.0,2026-08-07,C3_3_75_plus,C0_below_3_20,3
KUET,7.0,2026-08-07,C3_3_75_plus,C1_3_20_to_3_49,2
KUET,7.0,2026-08-07,C3_3_75_plus,C0_below_3_20,3
KUET,7.0,2026-08-07,C2_3_50_to_3_74,C0_below_3_20,2
KUET,7.0,2026-08-07,C1_3_20_to_3_49,C3_3_75_plus,2
KUET,7.0,2026-08-07,C2_3_50_to_3_74,C0_below_3_20,2
KUET,7.0,2026-08-07,C3_3_75_plus,C1_3_20_to_3_49,2
KUET,7.0,2026-08-07,C1_3_20_to_3_49,C3_3_75_plus,2
KUET,7.0,2026-08-07,C2_3_50_to_3_74,C0_below_3_20,2
KUET,7.0,2026-08-07,C0_below_3_20,C2_3_50_to_3_74,2
KUET,7.0,2026-08-07,C3_3_75_plus,C0_below_3_20,3
KUET,7.0,2026-08-07,C3_3_75_plus,C0_below_3_20,3
KUET,7.0,2026-08-07,C3_3_75_plus,C1_3_20_to_3_49,2
