university,department_grouped,academic_progress,academic_year,attendance,weekly_study_time,study_style,topic_clarity,sleep_duration,stress_frequency,weekly_responsibilities,distraction_frequency,study_environment,support_level,routine_manageability,admission_satisfaction,desired_department_match,career_expectation,discipline_index,wellbeing_index,environment_index,motivation_index,current_cgpa_band
BUET,ME,0.25,1,75-89%,Less than 3 hrs,Regularly but not every day,Almost everything,6-7 hrs,Almost always,6-10 hrs,Sometimes,Mostly suitable,Some support,Mostly manageable,Satisfied,Not at all what I wanted,Not at all,0.375,0.417,0.625,0.25,C0_below_3_20
BUET,IPE,0.125,1,60-74%,More than 15 hrs,Mostly consistent routine,Almost everything,6-7 hrs,Often,none,Almost every day,Mostly suitable,Some support,Difficult to manage,Very satisfied,Mostly different,Somewhat,0.438,0.333,0.625,0.583,C0_below_3_20
BUET,Other,1.0,4,90% or more,More than 15 hrs,Mostly consistent routine,Almost everything,7-8 hrs,Never,1-5 hrs,Never,Somewhat distracting,Very little support,Mostly manageable,Satisfied,Not at all what I wanted,Somewhat,0.938,0.833,0.25,0.417,C3_3_75_plus
BUET,Other,1.0,4,60-74%,More than 15 hrs,Occasionally when necessary,Almost everything,6-7 hrs,Often,1-5 hrs,Almost every day,Mostly suitable,Some support,Mostly manageable,Very satisfied,Mostly different,Mostly,0.25,0.5,0.625,0.667,C1_3_20_to_3_49
BUET,EEE,1.5,4,60-74%,Less than 3 hrs,Consistent throughout the semester,Most of it,More than 8 hrs,Never,11-15 hrs,Never,Neither good nor bad,No support,Mostly manageable,Neutral,Not at all what I wanted,Mostly,0.5,0.917,0.25,0.417,C0_below_3_20
BUET,CSE,1.375,4,90% or more,7-10 hrs,Mostly just before exams,A little,Less than 5 hrs,Almost always,More than 15 hrs,Rarely,Mostly suitable,Good support,Mostly manageable,Very satisfied,Not at all what I wanted,Not at all,0.625,0.25,0.75,0.333,C3_3_75_plus
BUET,BME,0.25,1,90% or more,More than 15 hrs,Mostly consistent routine,Most of it,6-7 hrs,Often,More than 15 hrs,Almost every day,Very distracting,Very little support,Difficult to manage,Satisfied,Close to what I wanted,Completely,0.688,0.333,0.125,0.833,C1_3_20_to_3_49
BUET,Other,0.5,2,60-74%,7-10 hrs,Consistent throughout the semester,Almost everything,7-8 hrs,Often,11-15 hrs,Often,Excellent for focused study,Very little support,Average,Satisfied,Close to what I wanted,Slightly,0.438,0.5,0.625,0.583,C0_below_3_20
BUET,Other,1.25,4,90% or more,3-6 hrs,Regularly but not every day,Almost everything,6-7 hrs,Rarely,More than 15 hrs,Never,Very distracting,Some support,Very healthy and balanced,Satisfied,Close to what I wanted,Mostly,0.688,0.75,0.25,0.75,C0_below_3_20
BUET,CE,0.5,2,90% or more,More than 15 hrs,Mostly just before exams,Most of it,6-7 hrs,Almost always,6-10 hrs,Never,Neither good nor bad,Very little support,Difficult to manage,Satisfied,Not at all what I wanted,Slightly,0.812,0.25,0.375,0.333,C0_below_3_20
BUET,Other,1.5,4,90% or more,More than 15 hrs,Occasionally when necessary,Almost nothing,Less than 5 hrs,Almost always,1-5 hrs,Almost every day,Very distracting,Strong support,Mostly manageable,Neutral,"Yes, exactly what I wanted",Somewhat,0.5,0.25,0.5,0.667,C0_below_3_20
BUET,ChE,0.625,3,90% or more,3-6 hrs,Occasionally when necessary,Almost everything,7-8 hrs,Almost always,none,Often,Somewhat distracting,Some support,Average,Neutral,Not at all what I wanted,Somewhat,0.375,0.417,0.375,0.333,C3_3_75_plus
BUET,MME,1.125,4,60-74%,Less than 3 hrs,Mostly consistent routine,About half,5-6 hrs,Rarely,More than 15 hrs,Often,Neither good nor bad,Strong support,Completely unmanageable,Satisfied,Not at all what I wanted,Not at all,0.25,0.333,0.75,0.25,C1_3_20_to_3_49
BUET,NCE,0.375,2,90% or more,11-15 hrs,Consistent throughout the semester,About half,7-8 hrs,Never,6-10 hrs,Rarely,Somewhat distracting,No support,Average,Very satisfied,"Yes, exactly what I wanted",Mostly,0.875,0.75,0.125,0.917,C1_3_20_to_3_49
BUET,PMRE,0.125,1,75-89%,3-6 hrs,Mostly consistent routine,A little,7-8 hrs,Never,6-10 hrs,Almost every day,Excellent for focused study,No support,Mostly manageable,Very satisfied,Somewhat different,Slightly,0.375,0.833,0.5,0.583,C3_3_75_plus
BUET,ME,1.125,4,75-89%,11-15 hrs,Mostly consistent routine,Almost nothing,7-8 hrs,Almost always,none,Rarely,Excellent for focused study,Good support,Average,Neutral,Not at all what I wanted,Somewhat,0.688,0.417,0.875,0.333,C1_3_20_to_3_49
BUET,IPE,1.0,4,75-89%,More than 15 hrs,Mostly just before exams,Almost nothing,More than 8 hrs,Rarely,More than 15 hrs,Rarely,Neither good nor bad,Good support,Average,Very satisfied,Mostly different,Completely,0.625,0.75,0.625,0.75,C0_below_3_20
BUET,ME,0.75,3,90% or more,7-10 hrs,Occasionally when necessary,Almost everything,7-8 hrs,Almost always,1-5 hrs,Rarely,Very distracting,Good support,Difficult to manage,Very satisfied,Somewhat different,Mostly,0.562,0.333,0.375,0.75,C1_3_20_to_3_49
BUET,CSE,0.75,3,90% or more,7-10 hrs,Occasionally when necessary,Almost everything,7-8 hrs,Almost always,1-5 hrs,Rarely,Very distracting,Good support,Difficult to manage,Very satisfied,Somewhat different,Mostly,0.562,0.333,0.375,0.75,C1_3_20_to_3_49
BUET,EEE,1.5,4,90% or more,More than 15 hrs,Mostly just before exams,Most of it,7-8 hrs,Sometimes,1-5 hrs,Never,Neither good nor bad,Strong support,Mostly manageable,Neutral,Somewhat different,Somewhat,0.812,0.667,0.75,0.5,C1_3_20_to_3_49
BUET,CE,0.625,3,75-89%,Less than 3 hrs,Consistent throughout the semester,A little,5-6 hrs,Sometimes,More than 15 hrs,Never,Mostly suitable,Good support,Completely unmanageable,Very satisfied,Not at all what I wanted,Completely,0.625,0.25,0.75,0.667,C1_3_20_to_3_49
BUET,ME,0.375,2,90% or more,11-15 hrs,Mostly just before exams,Almost nothing,Less than 5 hrs,Almost always,6-10 hrs,Almost every day,Excellent for focused study,Strong support,Very healthy and balanced,Very satisfied,"Yes, exactly what I wanted",Mostly,0.5,0.333,1.0,0.917,C2_3_50_to_3_74
BUET,EEE,0.375,2,75-89%,More than 15 hrs,Consistent throughout the semester,Almost nothing,6-7 hrs,Almost always,11-15 hrs,Never,Very distracting,Good support,Average,Very satisfied,Close to what I wanted,Completely,0.875,0.333,0.375,0.917,C3_3_75_plus
BUET,CSE,0.75,3,75-89%,Less than 3 hrs,Consistent throughout the semester,A little,7-8 hrs,Sometimes,More than 15 hrs,Often,Somewhat distracting,Strong support,Difficult to manage,Neutral,Close to what I wanted,Somewhat,0.438,0.5,0.625,0.583,C2_3_50_to_3_74
BUET,CE,0.5,2,60-74%,11-15 hrs,Mostly consistent routine,About half,5-6 hrs,Almost always,none,Rarely,Neither good nor bad,Some support,Average,Neutral,Not at all what I wanted,Completely,0.562,0.25,0.5,0.5,C0_below_3_20
BUET,ME,0.875,4,75-89%,3-6 hrs,Occasionally when necessary,A little,5-6 hrs,Rarely,11-15 hrs,Never,Excellent for focused study,Very little support,Very healthy and balanced,Very satisfied,Mostly different,Slightly,0.438,0.667,0.625,0.5,C0_below_3_20
BUET,ME,0.625,3,60-74%,Less than 3 hrs,Occasionally when necessary,A little,7-8 hrs,Never,11-15 hrs,Sometimes,Neither good nor bad,Good support,Mostly manageable,Satisfied,Mostly different,Mostly,0.125,0.833,0.625,0.583,C1_3_20_to_3_49
BUET,CE,0.625,3,90% or more,More than 15 hrs,Regularly but not every day,Almost nothing,6-7 hrs,Often,11-15 hrs,Rarely,Excellent for focused study,Some support,Average,Very satisfied,"Yes, exactly what I wanted",Somewhat,0.812,0.417,0.75,0.833,C3_3_75_plus
BUET,EEE,0.125,1,60-74%,7-10 hrs,Consistent throughout the semester,Most of it,7-8 hrs,Never,1-5 hrs,Often,Very distracting,Some support,Difficult to manage,Very satisfied,Mostly different,Completely,0.438,0.667,0.25,0.75,C3_3_75_plus
BUET,CSE,0.125,1,60-74%,11-15 hrs,Occasionally when necessary,Most of it,6-7 hrs,Almost always,1-5 hrs,Almost every day,Excellent for focused study,Strong support,Average,Satisfied,Mostly different,Mostly,0.188,0.333,1.0,0.583,C2_3_50_to_3_74
BUET,CSE,0.625,3,90% or more,11-15 hrs,Mostly just before exams,About half,More than 8 hrs,Often,More than 15 hrs,Sometimes,Excellent for focused study,Very little support,Average,Neutral,Mostly different,Somewhat,0.625,0.583,0.625,0.417,C3_3_75_plus
BUET,CE,0.75,3,60-74%,Less than 3 hrs,Regularly but not every day,Almost everything,5-6 hrs,Almost always,6-10 hrs,Sometimes,Very distracting,No support,Completely unmanageable,Very satisfied,Not at all what I wanted,Completely,0.25,0.083,0.0,0.667,C2_3_50_to_3_74
BUET,EEE,1.375,4,60-74%,More than 15 hrs,Occasionally when necessary,Almost nothing,5-6 hrs,Almost always,More than 15 hrs,Rarely,Excellent for focused study,Very little support,Difficult to manage,Satisfied,Close to what I wanted,Mostly,0.438,0.167,0.625,0.75,C0_below_3_20
BUET,ME,0.625,3,75-89%,More than 15 hrs,Regularly but not every day,Most of it,Less than 5 hrs,Sometimes,11-15 hrs,Never,Excellent for focused study,Some support,Completely unmanageable,Very satisfied,Not at all what I wanted,Mostly,0.75,0.167,0.75,0.583,C3_3_75_plus
BUET,ME,0.625,3,90% or more,7-10 hrs,Regularly but not every day,About half,5-6 hrs,Sometimes,none,Rarely,Somewhat distracting,Good support,Mostly manageable,Satisfied,Somewhat different,Slightly,0.688,0.5,0.5,0.5,C2_3_50_to_3_74
BUET,EEE,1.25,4,75-89%,3-6 hrs,Regularly but not every day,Most of it,Less than 5 hrs,Never,11-15 hrs,Almost every day,Somewhat distracting,No support,Completely unmanageable,Satisfied,Not at all what I wanted,Slightly,0.312,0.333,0.125,0.333,C1_3_20_to_3_49
BRAC,CSE,0.917,4,90% or more,Less than 3 hrs,Mostly just before exams,A little,6-7 hrs,Rarely,none,Almost every day,Mostly suitable,Good support,Difficult to manage,Neutral,"Yes, exactly what I wanted",Slightly,0.312,0.5,0.75,0.583,C0_below_3_20
